spp,region,n()
Echeneis naucrates,Southeast US Summer,2807
Echeneis neucratoides,Gulf of Mexico,3089
Echinacea spp.,Gulf of Alaska,10160
Echinacea spp.,West Coast Triennial,3535
Echinarachnius parma,Eastern Bering Sea,13071
Echinarachnius parma,Gulf of Alaska,10160
Echinaster,Gulf of Mexico,3089
Echiophis intertinctus,Gulf of Mexico,3089
Eleginus gracilis,Eastern Bering Sea,13071
Enchelyopus cimbrius,Northeast US Fall,12884
Enchelyopus cimbrius,Northeast US Spring,12479
Encope aberrans,Gulf of Mexico,3089
Encope michelini,Gulf of Mexico,3089
Engraulis mordax,West Coast Annual,4584
Engraulis mordax,West Coast Triennial,3535
Engyophrys senta,Gulf of Mexico,3089
Enteroctopus dofleini,Aleutian Islands,5474
Enteroctopus dofleini,Gulf of Alaska,10160
Enteroctopus dofleini,West Coast Annual,4584
Eopsetta jordani,Gulf of Alaska,10160
Eopsetta jordani,West Coast Annual,4584
Eopsetta jordani,West Coast Triennial,3535
Epinephelus morio,Gulf of Mexico,3089
Eptatretus stoutii,West Coast Annual,4584
Equetus iwamotoi,Gulf of Mexico,3089
Equetus lanceolatus,Gulf of Mexico,3089
Erimacrus isenbeckii,Aleutian Islands,5474
Erimacrus isenbeckii,Eastern Bering Sea,13071
Ethusa microphthalma,Gulf of Mexico,3089
Etropus crossotus,Gulf of Mexico,3089
Etropus crossotus,Southeast US Fall,2681
Etropus crossotus,Southeast US Spring,2562
Etropus crossotus,Southeast US Summer,2807
Etropus cyclosquamus,Gulf of Mexico,3089
Etropus cyclosquamus,Southeast US Fall,2681
Etropus cyclosquamus,Southeast US Spring,2562
Etropus cyclosquamus,Southeast US Summer,2807
Etropus rimosus,Gulf of Mexico,3089
Etrumeus teres,Gulf of Mexico,3089
Etrumeus teres,Northeast US Fall,12884
Etrumeus teres,Southeast US Spring,2562
Eucidaris tribuloides,Gulf of Mexico,3089
Eucinostomus gula,Gulf of Mexico,3089
Eucinostomus harengulus,Gulf of Mexico,3089
Eucinostomus spp.,Southeast US Fall,2681
Eucinostomus spp.,Southeast US Summer,2807
Eumicrotremus orbis,Aleutian Islands,5474
Eumicrotremus orbis,Gulf of Alaska,10160
Eunoe depressa,Eastern Bering Sea,13071
Eunoe nodosa,Eastern Bering Sea,13071
Eunoe sp.,Aleutian Islands,5474
